Short,Long,Class,Opinion
“Absolutely Perfect!”,"This was one of our favorite stops of a three week trip through Italy. The Alpe di Siusi area is breathtaking, peaceful, and as close to """"The Sound Of Music"""" imagery as you're likely to find; And the Alpenhotel Panorama somehow manages to make their hotel experience just as pleasant and memorable. The location is perfectly placed in the middle of the meadows atop one of the highest points of view (thus... panorama) The staff are unbelievably friendly and welcoming - the rooms (at least the one we stayed in) have terrific views overlooking the pristine alpine meadows and are appointed like a 5 star hotel - beautifully designed to integrate with the natural surroundings. There are several easy trails just outside the hotel's front door that meander through amazingly bucolic scenery. With our windows open at night and the silence only broken by the sound of cow bells clanging in the distance... this was an unforgettable experience. We opted for the half-board which included a 6 course meal prepared by a 2 star Michelin Chef - Each night was something different and amazingly delicious! Again, this was one of our most memorable dining experiences in all of Italy. We can't say enough about this hotel. Absolutely fantastic! P.S. If you can, try visiting when the wildflowers are in bloom (mid June - July) The tapestry of color is really quite amazing! Room Tip: top floor - newly built wing See more room tips",family,POS
“Perfection on Earth”,"This was our second trip - they offered us the same room as before - which was great. What can we say, the views our outstanding, the bus and chair lift are both withing 3 mins walk. When the last bus has gone , you feel you are in your own Alpine world. Staff ALL friendly helpful, and had a sense of humor , important when trying to cope with English and questions . The place is designed for comfort , plenty of activity space for the children , who were there but because they were entertained we re fine This time took advantage of the spa area , excellent and spotlessly clean as was the whole hotel. Food excellent , plenty choice and local menues We will be going back",couple,POS
"“Martin, CZ - Excellent stay”","We spent 7 nights here in March 2014. Rooms are perfect, nice equiped, with balcony - view from the balcony is great. We have 2 small sons - small ski slope just behind the hotel is fine, because your childern can have a fun and you see them from terrace. Half board was also nice. Staff is very friendly. I am looking forward for next stay here in winter 2015.",family,POS
“Nice terrace & good service”,"Large room, modern and nicely decorated. Tractors working in the vineyards were very noise already 7am but I guess this is not the whole year so you might want to check that beforehand. Very good and friendly services service. Terrace on top is very nice and the SPA is pretty good with nice view to vineyards and mountains. I just don't understand why no soap/shampoo, towels and drinking water not available in SPA area. Bar in the terrace was unfortunately closed. Room Tip: Be careful with rooms facing the vineyards, tractors can be very noise already at 7am. See more room tips",couple,NEG
“Great pizza near Sillian”,"We stayed in Sillian and looked for some really good pizza nearby and this was a big hit. We checked the reviews here and on other sites and were not disappointed. Great feeling, super service, pizzas come quickly, salads a bit after. But hit all the right points. The grappa on the house afterwards was a nice topping.",family,POS
“Alpine Idyll!”,"The thing is that we are coming to this hotel in same period for last seven years, and I guess it tells it all. The whole thing is organized by my company ski-club, and we have no intention to make any change to this arraignment. Pricewise it is value for money as they attach ski-pass to price on beginning of ski season. Helmhotel is mid-sized hotel with three star declaration and four star effects. It is managed by young family and every year you could see interior enhancements. Apart from tasty food there is a very good and always full pizzeria, and you can choose pizza or regular dinner while in half-board. Both hotel and pizza place are published in Michelin red guide as well. As for skiing hotel organizes transportation to nearby slopes (three minutes ride), and they have very well-ordered and worm ski-room. The best thing is attentive and well organized staff. Attached is my picture with employee of the month (he is the hairy one, not the fat guy !)",family,POS
“Gourmet heaven”,"The food is amazing. seven course dinners, exquisitely prepared. Doris at reception is charming, willing to do anything to make your stay perfect. She recommended hikes, speaks perfect English. The location is convenient to the shuttle bus and chairlift. Views are spectacular. Get a room with a view of the Sassoon Longo. Enjoy enjoy enjoy. Why do I have to keep making this review longer just to get it accepted?",family,POS
“Serenity”,"Napura is the hotel for those seeking for silence, calmness and fresh air. It is situated in a very picturesque place, rooms’ windows view grape and apple gardens, green mountains. The hotel itself is very nice. It is simple, but stylish and comfortable. My favourite place was the roof as it was the best place for lazy time. Jacuzzi, bar, terrific view – that’s what one need in the evening after great walking. Everything was wonderful. Our thanks to the staff, especially to Andreas at the reception. He was very friendly and helped us a lot. And best regards to the interior designer. Room Tip: Royal superior suite was terrific. See more room tips",family,POS
"“Enjoy skiing, great ambiance and hospitality”","We have enjoyed this ski in/out alpine hotel almost yearly over the last 10 years coming from the US. There is a lot to be said about coming back, feeling at home, experiencing the great ambiance and hospitality in this jewel setting in a snow haven. The hosts, staff and kitchen are always there to make your stay a great experience. And you will come back over and over......",couple,POS
“winter paradise”,"We have stayed here 6 years now. It is a great ski in/ski out hotel for my husband. I love having all the groomed hiking trails just outside the door. The family owners know us very well and anticipate the things we love, be it the room or a bottle of wine. The rooms are very clean and nicely decorated with views of either the mountain or the valley. The Finnish sauna is very welcome at the end of a day on the slopes. We enjoy everything in the Wellness Center. The food is wonderful. There are usually 5 course dinners with several choices for each course. Alex very proudly has wines from local vineyards that you can't find most places. We can't wait for next season to go back. Room Tip: Rooms at the comfort level and up are newer and larger. See more room tips",couple,POS
“Very friendly”,"We chose this hotel because of its excellent reputation and we were delighted to find that all comments are totally justified. We spent 5 wonderful days hiking, biking, shopping and having great diners. Ask Mauricio, he knows good addresses for dining out.",None,POS
“What a find! - elegance with comfort and class - a cut above all”,"I have traveled extensively through Asia, where service and helpfulness is beyond reproach. While my previous expirence in Italy has encounted crisp efficiency..... never has this been combined with the wamth and helpfulness of the young staff at the Napura Art Hotel. A cut above almost all I would say. This, when combined with great design, large airy rooms and fine modern artworks makes a stay of a few days worth while. The Napura's home town, Bolzamo,10 minutes distant, is enchanting. If you do not tell other English speaking tourists about it..... you will have it to yourself. We did. Enjoy ! Room Tip: Request a view of the mountains , not on the ground floor. See more room tips",couple,POS
“Perfect hotel for a fantastic wintersports !”,"Even after our fourth visit to this beautiful hotel, we are convinced that this is certainly not the last time. The super-position of the hotel in the ski area, the nice hotel, the superb wellness and especially the friendly staff makes this hotel a perfect destination for a fantastic winter sports. Caroline and Kees",family,POS
"“Large, comfortable hotel in a beautiful location - but remote!”","This hotel is up in the Alpe de Siusi, the upland pasture above the Val Gardena. It's a large hotel with comfortable rooms, an outdoor pool (too cold in September!) and a spa with pool in the basement. Breakfast and dinner were good quality. The staff in the restaurant are very professional and friendly; sadly, the staff on reception are not quite so friendly. There is no Internet access here - not for guests, that is. You should also know that car access to the Alpe di Siusi is very restricted. If you are staying at the hotels (there are a couple of others) you can drive in on your first arrival at any time via Compatsch; you need to show the foresters your reservation. Once there, you cannot drive in or out during the middle part of the day. In fact we drove in on a track from S Cristina, not really realising that this is not strictly allowed! However, there is a frequent bus service to Compatsch. It rained quite a bit during our stay, but the pool and spa gave us something active to do.",family,NEG
“What a great place for comfort and relaxation!”,"We were passing through the Dolomites on our way to Elba, and we decided to do something different since it happened to be my wifes birthday. What a gem this brand new hotel is!. Upon arrival we were welcomed in a serviceminded way, with complimentary Prosecco (birthday). We had booked an Deluxe Suite, and the room we got looked a lot different than the pictures. The hotel had done a mistake and instantly upgraded us to Royal Superior. The roof terrace is great, with a seperate wellness area, bar and smooth jazz playing over the outdoor speakers. Since it happened to be UEFA Euro, thay had set up an outdoor TV area, which was great. The only setback on the hotel is that the Wi-Fi system is extremely difficult with bad reception and new log in for each session. The hotel doens not have a reataurant for dinner, but Terlano a few minutes drive have one of the best pizzarias ever in Mama Mia restaurant.",family,POS
"“Fantastic, comfortable and very welcoming”","A real gem of a place , found by accident when looking for a spontaneous place to stay for 2 nights in late sept. great value, warm friendly welcome , spotlessly clean and a really lovely sauna /spa area plus 5 course dinner included! Room Tip: The rooms all face the mountains with fab views but it is close to a road so there is road noise alb... See more room tips",couple,POS
“Highly recommend this hotel!”,"Cannot say enough positive things about this hotel. We stayed here for three nights with our two kids (5+1) in a three-bed room plus a babybed. First of all, we were greeted with a big smile and a handshake by the one owner of the hotel, Helga Zemmer. We were shown our room - which was HUGE. Modern, bright, with a big bathroom. You could close the window shutters and it got totally dark in the room at night - helpful with kids...The room was absolutely quiet, you could not hear anything from the hallway or other rooms. Extremely clean! They have a wellness area which we did not use because of the unusual opening hours only in the afternoon. The kids playroom in the basement was nice and we used it daily, it even had a table-soccer. The five-course dinner was served at 7pm, you should arrive not later than 7:30. It always included a salad buffet, a first course (typically a pasta dish), a soup, a main course (which you decided for at breakfast; a choice between two meat dishes) and a dessert. The meat was from local farms and the dishes were prepared after regional recipes. Only a few dishes were just okay, most of them were delicious. The prices for beverages was high, but typical for the area. Dinner takes a couple of hours here, but the owner gives the guests several opportunities during a stay to meet each other like a pre-dinner cannapes and Prosecco get-together. Breakfast buffet was very good! Different choices of cereal, Muesli, cheeses, cold-cuts, yogurts, breads, rolls, also cake, fruit and hard-boiled eggs. Many tea options and good, strong coffee. The hotel is about a ten-minute walk from the center of Compatsch which has a tiny grocer, places to eat and a few stores. The views from the street-facing side of the hotel are breathtaking. Note that there is little traffic due to the travel-restrictions of the road. You can sit outside in the front in the sun, enjoy a good Latte Macchiato and relax. The two owners of the hotel, the sisters Zemmer, are extremely friendly and helpful. The rest of the staff is very kind as well. Helga even offered my husband a lunch package when she heard he was gonna take a long hike the one day, and that without any extra charge! Wow, is that service or what? So, beautiful hotel, inside and out, modern, nice wooden furnishings, impeccably clean, friendly people and nice extras. Stay here! Thank you, Zemmer sisters!",family,POS
“Excellent value for money”,"Brand new design hotel, balcony with excellent view to the Dolomites. We stayed for a couple of days in June and did some nice trekking in the area. We had half board, which was excellent value for money. A nice breakfast buffet and a four course dinner was included. We only regret that we did not stay longer... Room Tip: A room with a balcony is mandatory. See more room tips",couple,POS
“The highest hell”,"The owners are absolutely focused on squeezing the clients for money. The category of the hotel is not four stars, some rooms have views directly to the parking, are just a “baita”, with spiders and other visitors. The service and the treatment are simply cold and awful, thanks a lot Miss Heidi for your kindness! The access is very difficult, even in summer. Internet by payment 2€/h, and scarce mobile net service. Not recommended for children and families.",family,NEG
“Everything excellent”,"This hotel is superbly situated in a corner of the Alpe di Siusi. Very quiet - no other buildings near - and a really good place to start many challenging (or, if you want, not so challenging) walks. Note the Goldknopf chairlift does not work in summer, so you need to arrange a taxi or a 1-1.5 hr walk (if you have a backpack) from Kampusch to get there. Absolutely superb food in the evening. Nice wellness area, although the outside four-person jacussi is usually too crowded to get a toe in. NIce outdoor and indoor bar areas, although strangely without the fantastic views. Lovely room and balcony. Very friendly staff. Provided us with a lunch pack as we had to leave early and missed breakfast on our last day. Room Tip: Book a room with balcony on the north (not south) side as it has the fantastic views - which you can... See more room tips",couple,POS
"“Great: Service, food and rooms”","The Hotel Goldknopf is a very good hotel at Alpe di Siusi. The newly renovated rooms are very stylish and well designed. The service and friendliness of the Goldknopf team was amazing. And the food: Very elaborated. There are lots of Alpine resorts that offer """"gourmet dinner"""" in the evenings. But Goldknopf is the first that can really call the menu """"gourmet"""". We very much enjoyed out stay here. The hotel is located at approx. 2000m. It was very cold and rainy for the first three days of our stay, which meant the hotel was directly in the clouds and it was very wet and misty. On the other hand when the sun is shining and the sky is clear you have the loveliest view over Alpe di Siusi. Also, if you decide to visit Bolzano or any other place you need to keep in mind to leave before 10AM and that you cannot get back before 5PM since Alpe di Siusi is a nature reserve. I don't say it is a problem that the hotel is located quite remotely - you only need to be aware of it. Room Tip: Try to get a newly designed corner room - you either get a great view of the Sciliar or Sasso Piatto See more room tips",couple,POS
“Quite getaway for those loving”,"We stayed the second time in October 2011 because the summer week in August was so great. Great food is served for dinner. You have a six course meal, and each course is so small, that you have to eat all in order get stuffed. But once you learned this, you'll enjoy. For summer vacations the hotel is close to two main hiking trails, so you can easily stay a week with hiking without ever using your car to get to a trail head. In Autumn the air is clearer ant the views are stunning. But it is a little bit cool in the morning, because the Hotel is 2000m (aprox 6600ft) above sea level. Nice stuff, clean, quite location. Really worth every cent.",couple,POS
“very convinient”,Very convinient and comfortable hotel. Straight on the ski slopes. We were living in the suite together with our kids and there were enough space. Already booked for next season. Big breakfast with great choice. Strongly recommend.,family,POS
“Good place to stay for skiing”,"The hotel offers all the basic facilities for skiers wanting to take advantage of the area. The rooms are clean and quiet, the food good and the staff helpful. Our waiter, Tariq, is one of the best I have ever been served by, and my family is not easy to please. The cost of the stay was very reasonable considering what the hotel offered and its convenient location in the village and near the main ski slopes. The only slight disadvantages of the hotel are that there is no children's area for my small kids and the wifi, though free, is very slow in the evening and only accessible is the reception area. Room Tip: All rooms are quiet and comfortable. Some on the first floor benefit from the wifi access normally a... See more room tips",family,POS
“Expensive and a little pretentious”,"The place is located right in the middle of the madness of Compaccio-compatsch (the main village of Alpe di Siusi-seiser alm and the starting point for almost all excursions ), so during daytime it is not so too quiet. The food is average and the drinks expensive (you cannot order a simple glass of wine at the table of the restaurant, and the cheapest wine bottle is around 20 Euro, a liter of water is 4 euro!). The rooms are just fine, but if you book on-line they usually get you the one with the view of the back that is not the best. It's clear that the management takes advantage of the fact that they are where they are (major touristic area). Room Tip: The ones in the front have better view See more room tips",friends,NEG
"“Mountain Air, Killer Views, Great Food”","We stayed here in May 2014 as part of the Rick Steves Best of Italy Tour. Great, spacious room. View of the closest, large peaks from our balcony. Wonderful fresh air at night with the window open. Breakfast was large and satisfying. We had two five course dinners that were above average. In the winter this place would be heaven for skiers who could ski in and ski out right from the front door. Several hikes of varying difficulty are available without driving anywhere, although the altitude is 7500 feet or so and you need to keep drinking water to avoid headaches and other problems. On the day we went hiking it was 42 degrees with a brisk wind so have some warm clothes even in Spring/Summer. Not much was open when we were there (before their summer season) but there were a few places to eat up the hill in Compatsch. If this review is helpful then please indicate so below.",friends,POS
“could be better”,"The sheets of beds were not changed when we got there, they had several hairs on them Parking was OK but a bit tight, when the hotel is fully booked I doubt if there are enough parking for everyone Location is a bit far from the center of the town, other hotels are better located for those who are interested in hiking and using the cable cars. Waiters and waitress were nice and friendly. Dinner takes more than 2 hours, a bit too much...",None,NEG
"“Lovely, well-run hotel”","We loved our time in the Sud Tyrol staying at the Hotel Seelaus. The owners, Roberto and Helen, we always nearby and very professional, gracious, and helpful. It's a gem of a hotel, recently renovated, in gorgeous place. There are other modern hotels but they don't have the charm and warmth of Seelaus. The food was really outstanding, even if there was way too much for us. We had prepaid for the evening meals for all four nights (as it was so reasonable) and had intended to go out a couple of times. The food was so good, and the staff so welcoming, that we ate there every nite, and were not disappointed in the fixed-menu meals. Rick Steves tours frequent the place in May and September. You can take that as a big plus, if you can put up with the noisy Americans.",couple,POS
“Hotel in a beatiful location but with room for improvements”,"The hotel is very well located and very convenient for doing trekking and going around. We did not use the car at all for one week. Staff was very kind and keen to help. The room was comfortable, sufficiently big and clean. Food was good, but we regret that we've never been offered anything typical of the region. Cooking is italian style and probably foreigners appreciate it, but for Italians (like us) the expectation is to taste the food of the region. Dinner takes definitely too long. Not less than two hours for a fixed menu (four courses with no choice). Breakfast could be better (e.g. with home made jams instead of industrially packaged). The spa capabilities are good but the hotel website does not explain that there is a small pool which is not a swimming pool.",family,NEG
“One of the best experiences we have had at a hotel”,"Stayed two nights in the summer of 2013. It appeared that we were the only Americans there, but able and entertaining waiter/bartender, Christian, spoke English well (and six other languages) and made us feel very welcome. Rooms were quiet, spacious, comfortable and immaculate. Breakfast was excellent with many choices and an outstanding view of the Dolomites. Manager of the hotel gave us good suggestions for our hikes. Five course dinner was delicious and quite affordable.",couple,POS
“A trip to Remember”,"Wow! We had a 5-day experience which I'm not sure one or a family can capture in the US, or in most places for that matter. I say this because, the service, accommodations, hosts, dinning on excellent 5-course meals, and having adventurous experiences all in one exquisite location at the Hotel Seelaus, in the Alpe di Siuis, the Dolomites of Italy, with the gracious family hosts Roberto and wife, Wally and their daughters. We visited in mid-to-late June and experienced an incredible mountainous adventure, with abundant wild flowers on our numerous hikes, biking trips and via ferrata. All of this supported by the hotel with the aid of a local guides to assist you on various adventures. After your day of adventure relax and enjoy their incredible Spa which is apart of the Hotel. We believe the Hotel Seelaus is ideal and affordable for families. Room Tip: if you have a family, see if you can get two rooms connecting with balconies. See more room tips",family,POS
“Bad price quality ratio”,"We have been in this hotel in a group of 11 people last year. It was my first bad experience with the hotel in that area after many years of coming to Italian Alps for holidays. I am generally not very picky about hotels I visit but in this particular case I was disturbed by such a low value for a significantly high price. This hotel is a good 3 star hotel and should be priced accordingly but it is not even close to stated 4 stars. Despite early reservation (3 months in advance) the hotel management was unable to provide us the room reserved in the main building with mountain view instead they have gave us the room in annex building with parking view for the same exact price. It was impossible to sleep with open window and very hard to do it with closed one, since local guests were leaving after dinner very late and stuff was coming very early, all happened directly under our balcony. Room was very tiny and not very nice. Hotel management was welcoming and polite but the lack of personnel was obvious. We were waiting for our dinner for 2 hours every day and we had no choice but to cancel further dinners after one evening when they started serving our food the moment other guests were finishing their deserts. I understand that the restaurant is not a fast food, but such slowness was just too much. Not to mention that restaurant stuff started to become irritated and rude after our attempts to fasten the process and claimed that they didn't understand my terrible English. Overall I think that mentioned complaints could have been avoided if the value of this hotel was stated honestly from the very beginning and people who made all those rave reviews would have been more realistic about what they were writing. Room Tip: Don't make room reservation at the annex building See more room tips",friends,NEG
"“Outstanding food, service, location- should be 5 star.”","Just returned from a week climbing and walking around corvara and stayed at this fabulous hotel. The food and service were outstanding, location perfect and room really clean with an excellent shower. Cant praise this hotel highly enough - a true gem. Run and owned by a really lovely family. Have already decided to return next year.",None,POS
“Appalling food!”,"We have recently returned from a week at the Col Alto, and frankly was very disappointed! The welcome was mediocre , the chap that helped us to the very small lift, managed to pack 4 adults, 4 suitcases, 4 boot bags and 2 sets of skis in, and then didn't help us out at our floor- bizarre we thought! The hotel is very comfortable and very clean, boot room, very warm and great ski bus service. The bar staff were friendly, but the restaurant was really disappointing! The food was cold when it arrived , choice limited and the lighting was harsh! We did complain but didn't feel like the reception girls passed anything on to the """"director"""". We never saw the owners, if it's supposed to be family run then that was disappointing too, as we have always had a good welcome when staying in other family run hotels in the region! The wellness is only open from 1600-1900 too, the pool open all day but quite cold. Bed was hard but a mattress topper provided and extra pillows. Mini bar in room, expensive! Corvara is a brilliant place to ski, but stay at la plaza or l'Table or hotel marmalada. All these made us welcome when we visited. Room Tip: Don't think there are any, we asked for quiet ones and put out the back of main hotel, but were... See more room tips",family,NEG
“Great Hotel”,"Just back from a brilliant skiing holiday in Corvara. Probably the best conditions in years, which was a plus. Always stayed away from the Dolomite's because of the poor snow record. Trust me, this is a great place for a weeks skiing, the scenery and variety of runs are fantastic and then add the lovely mountain restaurants and huts for a beer all at reasonable prices and the friendly ambiance from the locals, this was a great holiday. We stayed at the Hotel Col Alto, no complaints at all, good room, very clean, staff very attentive. Lovely food and a good wine list. Very good spa. In the morning the hotel minibus takes you to either lift station at your request and at the end of the day you can ski back virtually to the steps for the ski room (well we could, remember good snow) We've skied Zermatt, Ischgl, St Anton, Val d Isere etc etc etc and for quality and value wee Corvara and the big Sella Ronda area are hard to beat. Other than a few lead in runs or exit runs to Arabba or Selva I don't believe we did the same run twice all week. Great resort, very good Hotel and a really wonderful ski area.",couple,POS
"“Magic atmosphere, excellent service and superb food”","Col Alto continues to impress me. This year I was back with a group of friends to celebrate the new year. The winter atmosphere in the new lobby was magic: the fireplace, the live music, the comfortable sofas and the great service offered a perfect setting for relaxing and spending time chatting with friends. Stefano and his wife Lucia, the family that owns Col Alto, took care of us for all our stay, providing great suggestions on where to go for ski, where to stop for eating and we were assisted in the booking for the booking of the restaurants and other activities. I definitely recommend of trying the rum testing: the Col Alto’s sommelier will drive you through a unique experience by offering different kind of rums combined with fresh fruits, chocolate and other type of food!",friends,POS
“Best experience in Europe over 30 years”,"We stayed in this marvelous hotel for 3 nights after a hectic week in Milano. We have been coming to Europe nearly every year or every other years over the last 30 years (5th time in Italy). Of course this place does not match some of the very expensive hotels we have stayed in Europe, but we had by far the most comfortable, pleasant and enjoyable experience by staying at this hotel. As many reviewers stated, staffs are genuinely nice and service is outstanding. The entire hotel has very calm and friendly atmosphere where you could really, really relax. I did not know anything about this hotel and blindly booked through Booking.com with the help of Tripadvisor. Actually the name sounded too 'American' and I almost avoided this hotel if I did not see such high rating by Tripadvisor's reviewers. Don't be misled by the name. This is a family operated local hotel where most visitors during the summer are from nearby European countries (Austria, France, Germany of course Italy) and can tell they are 'regulars'. The view from the room and from a large deck was breathtaking (see the picture). Breakfast and dinner were outstanding (dinner menu changes everyday). The dinner costs only 25 Euros/person, but the quality is first class and worth well over 50 Euros/person. In fact I spent far more just for a lousy lunch in Milano. Also one day they had a special pasta night in addition to your regular dinner where you can ask a pair of cooks how you want your pasta to be cooked (type of pastas and ingredients) and I had squid, octopus, shrimp, and fish pasta). Local deer stake for dinner was very tasty. One more thing, we originally booked the last room available on Booking.com. The room was small and facing the next building. So I just asked whether any room is available facing valley and beautiful mountains with deck. The receptionist said that there is one and with additional 10 Euro/day we could move there. We took the offer, but to our surprise, the manager (a family member sitting in the back) said we could move there without paying additional fee. The advise I have for tripadvisor readers is that book your room via hotel site not through internet travel sites if you want a fantastic mountain and valley views and sun deck (yes with internet travel sites, rooms may cost you a bit less but you many not get what you want). If you like hiking or biking, trails (just simple walking to advanced hiking and biking) are everywhere starting from the hotel. Finally, hotel room is comfortable and very clean. So if you are looking for a hotel for relaxation and summer activities in this fantastic alpine mountain region near the border between Austria and Italy, this is definitely for you. Room Tip: Rooms facing the valley and mountains with a deck. See more room tips",couple,POS
“Highly Recommended!!!!”,"I spent 3 nights, 4 days for a cycling sportive in July. Outstanding service, spotless, great facilities, perfect setting, wonderful breakfast, scrumptious dinners...not much more to add other than to say that it is a very special place!",friends,POS
“A Wonderful Family Run Hotel”,"We loved this hotel even before we arrived. Unable to fit our snow chains just a few minutes from the hotel we called them and immediately Charlie arrived and within seconds the chains were fitted and we were able to complete our 9 hour drive. This was typical of the service and nothing was ever too much trouble for the Costamoling family and their team. Without exception everybody was warm and friendly. Rosie who looked after us in the restaurant and knew our every whim before us and Michael who was always on hand from choosing one of the brilliant local wines through to picking the right skis for our level of skiing and the conditions - changing them as the conditions changed - that's service! The ski room was well fitted out and less than a minute from the piste which was bliss. The fastest day's skiing was spent following Michael who was a dream guide; we went to Cortina and it seemed everywhere in between, which involved taking a bus as it's not quite seamless skiing and as soon as Michael realised we might have to queue, suddenly fleets of taxis or a bus magically appeared to whisk us on our way. OUr room had fabulous views down across Corvara and the mountains. They were comfortable and spacious, my only gripe would be the some days the towels were a bit threadbare - I'd suggest they don't replace the towels every day but make sure they are better quality. The food was good quality and plentiful - too much if you took advantage of one of the many gorgeous mountain restaurants including their own Punte Trieste which was great fun and excellent food. The wellness centre offered excellent facilities and a very relaxing end to a day's skiing. With the fabulous scenery and skiing we are definitely going to be returning to the Sporthotel. Room Tip: Rooms at the front of the main hotel have lovely views. See more room tips",couple,POS
“Nothing was too much trouble”,"We loved this hotel. Nothing betting at the end of a day skiing than the short walk to the hotel from the piste, drop your skis in to the well organised ski room (complete with boot dryers) and head to the spa, pool and stream room or straight to the bar for the wonderful afternoon tea baked freshly each day. The breakfast and dinners were amazing. The staff were great and nothing was too much trouble. Even organised for my skis to be tuned in town and they were picked up that afternoon and dropped off ready for use the next morning. The rooms spacious and comfortable. Even the other guests were delightful. We were also provided with a breakfast bag of goodies on our very early departure morning. Now, that's service! Happy to head back here to stay again.",friends,POS
“A wonderful Dolomites ski base”,"The hotel was highly recommended to us by friends who have been visiting it for over 10 years. Their recommendation didn't disappoint. We (3 single friends) stayed at this delightful hotel for a week in early March. What a wonderful base it was. The food, the staff, the facilities and the friendliness of other guests were excellent. On a daily basis we enjoyed a full and yummy breakfast, helpful advice to all and any question, a delightful selection of cakes after skiing for afternoon tea, the wellness centre (pool, spas, saunas, steam rooms, etc ), a consistently excellent 5 course dinner, a new herbal tea and cocktail to try at the bar and a very comfortable bed to retire to. The ski room was excellent and the couple of times we went into town to shop,etc, we really appreciated being dropped off and picked up. We also joined in with the ski guiding day which was really fun and provided the opportunity to meet more of the guests. All of us would return in a heartbeat.",friends,POS
“Perfect family holiday”,"Hotel Feldhof is the perfect location for a family holiday - plenty of activities for children, very attentative and personal service, a good variation of sports facilities (pools, bikes...), great food and good wines",family,POS
“brochure pictures are not realistic”,"This hotel was a let down from the minute we drove up. The location is right on the main busy road. We could not sleep with the windows open because the noise from the traffic would was so loud. Especially near 5 in the morning when the supplies were being dropped off. The pool that looks so huge in pictures is not. The pool slide that is highlighted only works for a few hours a day. The children couldn't use it at will, only when it turned on. That is a shame since the weather in that area can change in an instant. When it was sunny the slide was not operational, when it was raining the slide was on. The same applied to the inside pool fountains, they are all on timers and would only work some of the time through the day. The pools are all closed off at 8 in the evening. Far too early for my children. The exercise area, another disappointment, had very few items to use. No dumbells, or free wieghts of any type. The mats and balance balls where locked in another room. You were not allowed to use them unless you were participating in a class. The vetilation in the exercise room was terrible and the smell was disgusting. The bar area, while nice, was not comfortable. The lights are harsh and the bartenders were always bothering you to buy more drinks. You could not sit and enjoy one drink, they expected you to at least have 3 or more, if not they would keep pestering you until you bought another or just got up and left. We called for additional pillows and were told there are not any. The towels were frayed and had strings hanging off them. If it was a regular hotel I would understand, but this was supposed to be a luxury family hotel. I don't know where the luxury was, I certainly didn't see it.",family,NEG
“Nice place”,"To start with, Corvara is a very small town so pretty much every hotel has a good location This one is maybe 10mins walk from the main lift Food is descent, nothin to go crazy on but good enough to get by Staff is nice Pool open 4/7pm, spa also only opens late afternoon So if you are to spend a day there you can't do anything but stay in your room I guess I'd say this place is above the average for Corvara and I guess you get what you pay for But not the best choice",None,NEG
"“Mediocre facilities and service, decent rooms”","Concierge was completely unhelpful, when we got stuck on the mountain due to a snow storm on the way to Corvara. He did not call the emergency also suggested that the roads to get to the hotel were closed, whereas we found out that were opened. The pool is actually cold and always over crowded, no hot tub, no steam room, no hot pool. Sauna needs to be booked 1 day in advance. Had dinner at the restaurant, really average for Italian standards. Room had a problem with the fan at 7am, it took hours before someone came to fix it.",friends,NEG
“Nice hotel but service is really BAD”,"It's a tradition in my family that we spend a few days in Corvara in Badia around Christmas, even now that I am living in another city to study. We usually go to garnis, but this time some friends invited us to join them in Hotel Greif. The place is nice, and the rooms look really good. However, the service is really disappointing. First of all, the restaurant. We ate dinner there, and it was really bad. All dishes are pre-cooked and heated in the microwave, and they are not really appropriate for a 4* hotel. Even worse, our waiter was really bad at his job. He forgot to bring my dinner twice! Almost everyone else in our table had already finished eating, and I still hadn't received my plates! I said nothing the first time (I ate too much appetizers so I was fine anyway), but the second time it happened I got really mad. Two of us didn't receive the first course, so we asked the waiter to bring us our dinner. They didn't. A few minutes after they started serving the second course, and they forgot about us again. We asked again, still more or less politely, to have the first course served. This time the friend of mine was served, and I wasn't. You can immagine how mad I was after this! And all of this, again, in a 4* hotel. Other issue was with the ski room. A friend of mine left her UGG Boots there when she went skiing, and when she came back she couldn't find them anymore. She asked to the director, and she was answered that he couldn't do anything. Later on, they just attached a piece of paper on the door of the ski room stating that """"they don't assume any responsibility for objects left in the ski room"""". Note that the Italian Civil Code clearly states that this has no value, because the hotel is responsible by law for things left in ski rooms. Eventually, that evening she noticed another guest with her boots on. We believe that girl took my friend's UGG boots """"by mistake"""". Third... WiFi. In the last days of 2012, there is no free WiFi in this hotel. You have to pay for it, and a lot! (10€ per day) Worst of all? It works only in the common areas, and not in guest rooms. Seriously: even in 10$/night hotels in a place like Baños del Ecuador I could have free WiFi, last summer.",family,NEG
